Occupation,Label,XL_%,3.5_%,Flx_%,Qwen_%,XL_chi2,3.5_chi2,Flx_chi2,Qwen_chi2,XL_p,3.5_p,Flx_p,Qwen_p
poet,long,10,3,3,0,3.18,4.09,3.79,4.02,.20,.13,.15,.13
comedian,stool,3,2,0,12,54.49,35.3,0.34,3909.24,.00,.00,.85,.00
doctor,wide,11,3,2,0,4.12,5.06,1.25,4.34,.13,.08,.53,.11
physicist,handling,3,9,4,0,88.83,440.53,171.22,0.31,.00,.00,.00,.86
artist,stool,7,4,5,0,320.31,113.94,344.42,0.3,.00,.00,.00,.86
poet,mixed,2,2,12,0,1.99,4.77,1.21,6.76,.37,.09,.55,.03
optician,trouser,12,3,0,2,50.38,15.59,1.04,0.93,.00,.00,.59,.63
dentist,mouth,0,6,2,8,0.01,3000.41,732.33,0.06,1.00,.00,.00,.80
dancer,mist,4,12,0,0,49.17,243.28,0.23,0.18,.00,.00,.89,.92
coach,headphone,1,1,14,0,11.05,1.93,482.68,5.6,.03,.75,.00,.23
scientist,red,2,2,2,10,5.28,7.19,5.32,36.22,.51,.30,.50,.00
singer,shoe,5,1,3,7,9.8,10.8,2.49,13.92,.04,.03,.65,.01
nurse,pole,4,2,2,8,667.09,189.41,134.61,1341.05,.00,.00,.00,.00
singer,produce,8,4,0,4,45.84,18.61,4.05,31.86,.00,.00,.40,.00
designer,red,2,5,4,5,11.4,28.89,34,8.65,.04,.00,.00,.01
driver,watch,5,3,8,0,5.09,3.8,10.66,1.52,.53,.58,.10,.96
teacher,backpack,3,10,3,0,89.51,349.07,39.24,0.98,.00,.00,.00,.91
biologist,book,3,5,3,5,18.6,18.34,7.79,27.81,.00,.00,.10,.00
counselor,stethoscope,0,1,14,0,2.94,2.66,448.18,1.48,.57,.62,.00,.96
cashier,red,4,5,8,0,2.53,1.91,13.43,6.71,.77,.93,.04,.03
architect,table,10,2,1,3,118.72,12.64,5.21,1.17,.00,.01,.27,.88
flight_attendant,tie,4,7,5,0,8.31,72.09,49.64,33.83,.40,.00,.00,.00
coach,smiling,3,5,8,0,20.56,16.53,17.07,2.58,.00,.00,.00,.63
cleaner,stubble,1,2,5,8,5.24,3,11.32,2.9,.02,.56,.00,.23
surgeon,orange,3,3,7,3,12.08,13.48,15.04,11.92,.06,.04,.02,.06
entrepreneur,red,3,7,4,2,39.65,94,20.61,3.61,.00,.00,.00,.16
dentist,pants,7,1,5,3,13.8,1.7,35.36,2.77,.00,.43,.00,.25
researcher,apron,6,6,0,4,43.05,42.59,15.63,18.71,.00,.00,.02,.00
coach,slim,8,6,2,0,1.81,5,6.62,18.91,.18,.08,.04,.00
counselor,path,6,3,3,4,281.18,67.41,31.53,64.6,.00,.00,.00,.00
journalist,headphone,2,4,7,3,145.27,77.1,91.88,7.15,.00,.00,.00,.13
singer,headphone,4,6,4,2,448.27,305.94,28.63,10.9,.00,.00,.00,.03
receptionist,walking,7,4,3,2,25.87,8.24,10.93,2.22,.00,.02,.00,.33
editor,camera,1,2,11,2,7.85,4.19,100.85,10.17,.10,.38,.00,.04
seamstress,long,10,2,2,1,3.16,5.28,3.4,2.35,.21,.07,.18,.31
biologist,cloudy,2,9,4,0,2.04,50.58,7.88,2,.36,.00,.02,.16
chef,red,4,10,1,0,8.59,77.2,7.05,6.19,.20,.00,.32,.05
editor,posing,2,11,3,0,1.98,67.68,5.7,0.57,.37,.00,.06,.75
manager,balanced,3,8,4,1,10.19,4.49,2.97,5.18,.01,.11,.23,.07
editor,ponytail,9,5,1,1,1.36,4.37,2.85,1.52,.51,.11,.24,.47
stage_manager,equipment,5,5,0,6,721.22,290.43,6.53,765.85,.00,.00,.16,.00
waitress,gray,2,8,6,0,28.48,15.75,33.22,24.32,.00,.00,.00,.00
chef,grey,6,1,9,0,15.18,18.91,6.52,14.46,.00,.00,.04,.00
waitress,walking,5,5,6,0,13.26,12.4,39.77,3.3,.00,.00,.00,.19
pilot,walking,5,9,0,2,8.22,50.48,2.35,2.22,.02,.00,.31,.33
receptionist,talking,6,6,4,0,87.65,135.42,39.74,0.57,.00,.00,.00,.75
laborer,beam,3,3,9,0,112.39,174.35,337.25,0.29,.00,.00,.00,.86
accountant,cloudy,6,2,0,8,4.83,0.41,2.84,35.88,.09,.81,.24,.00
clerk,watch,3,3,9,0,6.17,2.22,18.95,4.3,.40,.90,.00,.64
baker,neutral,3,6,4,3,63.95,46.49,60.56,69.09,.00,.00,.00,.00
police_officer,tie,8,3,3,2,254.41,77.34,6.12,22.66,.00,.00,.63,.00
biologist,tablet,3,2,6,5,11.8,11.1,41.93,42.09,.02,.03,.00,.00
