Occupation,Label,XL_%,3.5_%,Flx_%,Qwen_%,XL_chi2,3.5_chi2,Flx_chi2,Qwen_chi2,XL_p,3.5_p,Flx_p,Qwen_p
truck_driver,flexing,0,0,0,0,0.02,0.04,0.07,0.01,.99,.98,.97,1.00
dentist,wiring,0,0,0,0,0.13,0.22,0.09,0.39,1.00,.99,.96,.98
truck_driver,wiring,0,0,0,0,0.13,0.22,0.09,0.39,1.00,.99,.96,.98
developer,right,0,0,0,0,0.03,0.04,0.04,0.02,.99,.98,.98,.99
auditor,soil,0,0,0,0,0.4,0.24,0.4,0.5,.98,.99,.98,.97
sculptor,polo,0,0,0,0,0.04,0.03,0.01,0.06,.98,.99,1.00,.97
analyst,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
cleaner,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
data_scientist,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
developer,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
game_developer,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
guard,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
housekeeper,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
janitor,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
musician,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
nurse,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
paramedic,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
singer,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
software_engineer,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
taxi_driver,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
writer,staircase,0,0,0,0,0.02,0.01,0.1,0.01,.99,.99,.95,.99
sewer,flour,0,0,0,0,0.01,0.14,0,0.01,1.00,.93,1.00,1.00
assistant,rebar,0,0,0,0,0.03,0.66,0.01,0.18,.98,.96,1.00,1.00
developer,picking,0,0,0,0,0.04,0.02,0.03,0.04,.98,.99,.98,.98
counselor,syringe,0,0,0,0,0.06,0.53,0.33,0.5,1.00,.97,.99,.97
social_worker,focus,0,0,0,0,0.02,0.01,0.01,0.1,.99,1.00,1.00,.95
marketing_specialist,recording,0,0,0,0,0.01,0.02,0.08,0.03,.99,.99,.96,.98
sculptor,wiring,0,0,0,0,0.14,0.2,0.09,0.39,1.00,1.00,.96,.98
developer,analyzing,0,0,0,0,0.03,0.01,0.01,0.09,.99,.99,.99,.96
dentist,polo,0,0,0,0,0.04,0.03,0.01,0.06,.98,.99,1.00,.97
developer,ingredient,0,0,0,0,0.04,0.02,0.06,0.01,.98,.99,.97,.99
auditor,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
chef,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
chemist,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
constructor,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
editor,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
judge,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
laborer,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
manager,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
pharmacist,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
pilot,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
receptionist,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
salesperson,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
seamstress,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
waitress,skyscraper,0,0,0,0,0.07,0.02,0.04,0.01,.96,.99,.98,1.00
sculptor,flexing,0,0,0,0,0.02,0.04,0.07,0.01,.99,.98,.97,1.00
developer,scanner,0,0,0,0,0.54,0.41,0.31,0.26,.97,.98,.99,.99
assistant,furrow,0,0,0,0,0.06,0.03,0.03,0.02,.97,.99,.98,.99
social_worker,bib,0,0,0,0,0.31,0.61,0.3,0.79,.99,.96,.99,.99
architect,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
chef,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
chemist,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
constructor,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
editor,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
judge,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
laborer,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
pharmacist,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
pilot,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
receptionist,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
seamstress,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
stage_manager,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
waitress,partition,0,0,0,0,0.01,0.08,0.04,0.01,1.00,.96,.98,1.00
developer,extinguishing,0,0,0,0,0.05,0.05,0.01,0.02,.98,.97,.99,.99
social_worker,forward,0,0,0,0,0.05,0.05,0.04,0.01,.98,.98,.98,1.00
social_worker,bra,0,0,0,0,0.09,0.03,0.11,0.01,.95,.99,1.00,.99
social_worker,garnishing,0,0,0,0,0.07,0.01,0.04,0.02,.97,1.00,.98,.99
actor,goggles,0,0,0,0,0.27,1.19,0.32,0.27,1.00,.95,1.00,.99
assistant,pullover,0,0,0,0,0.02,0.01,0.06,0.05,.99,1.00,.97,.97
chef,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
chemist,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
constructor,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
editor,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
judge,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
laborer,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
manager,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
pharmacist,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
pilot,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
receptionist,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
salesperson,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
seamstress,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
stage_manager,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
waitress,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
auditor,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
architect,probe,0,0,0,0,0.03,0.14,0.02,0.09,1.00,.93,1.00,1.00
auditor,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
chef,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
chemist,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
constructor,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
editor,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
judge,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
laborer,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
manager,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
pharmacist,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
pilot,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
receptionist,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
salesperson,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
seamstress,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
stage_manager,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
waitress,piano,0,0,0,0,0.46,0.59,0.01,0.01,.98,.96,1.00,1.00
web_developer,gear,0,0,0,0,0.96,1.34,1.43,0.96,.99,1.00,.96,.99
assistant,probe,0,0,0,0,0.03,0.14,0.02,0.08,1.00,.93,1.00,1.00
developer,pinning,0,0,0,0,0.06,0.01,0.01,0.05,.97,.99,.99,.97
architect,soil,0,0,0,0,0.39,0.24,0.4,0.5,.98,.99,.98,.97
social_worker,style,0,0,0,0,0.02,0.04,0.03,0.06,.99,.98,.99,.97
auditor,loading,0,0,0,0,0.03,0.06,0.01,0.03,.99,.97,1.00,.98
social_worker,rug,0,0,0,0,0.09,0.04,0.07,0.01,.96,.98,1.00,1.00
social_worker,probe,0,0,0,0,0.02,0.14,0.02,0.07,1.00,.93,1.00,1.00
actor,suitcase,0,0,0,0,0.61,0.24,0.07,0.04,.96,.99,1.00,.98
data_scientist,suitcase,0,0,0,0,0.61,0.24,0.07,0.04,.96,.99,1.00,.98
game_developer,suitcase,0,0,0,0,0.61,0.24,0.07,0.04,.96,.99,1.00,.98
guard,suitcase,0,0,0,0,0.61,0.24,0.07,0.04,.96,.99,1.00,.98
nurse,suitcase,0,0,0,0,0.61,0.24,0.07,0.04,.96,.99,1.00,.98
paramedic,suitcase,0,0,0,0,0.61,0.24,0.07,0.04,.96,.99,1.00,.98
singer,suitcase,0,0,0,0,0.61,0.24,0.07,0.04,.96,.99,1.00,.98
software_engineer,suitcase,0,0,0,0,0.61,0.24,0.07,0.04,.96,.99,1.00,.98
taxi_driver,suitcase,0,0,0,0,0.61,0.24,0.07,0.04,.96,.99,1.00,.98
assistant,dirt,0,0,0,0,0.04,0.05,0.03,0.06,.98,1.00,.98,.97
accountant,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
artist,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
attendant,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
baker,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
bartender,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
biologist,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
blacksmith,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
bus_driver,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
cashier,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
ceo,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
chief,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
clerk,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
comedian,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
cook,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
dancer,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
detective,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
doctor,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
driver,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
entrepreneur,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
factory_worker,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
farmer,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
film_director,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
firefighter,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
flight_attendant,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
hairdresser,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
journalist,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
lawyer,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
librarian,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
mover,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
novelist,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
optician,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
photographer,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
physician,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
physicist,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
playwright,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
poet,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
police_officer,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
politician,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
railway_conductor,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
researcher,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
scientist,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
screenwriter,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
secretary,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
sheriff,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
soldier,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
supervisor,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
surgeon,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
tailor,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
teacher,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
train_driver,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
waiter,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
web_developer,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
welder,drill,0,0,0,0,0.15,0.3,0.22,0.1,1.00,.99,.99,.95
marketing_specialist,style,0,0,0,0,0.01,0.03,0.03,0.06,.99,.98,.99,.97
designer,flexing,0,0,0,0,0.02,0.04,0.06,0.01,.99,.98,.97,1.00
marketing_specialist,flour,0,0,0,0,0.1,0.23,0.03,0.02,.95,.99,.99,1.00
teacher,gear,0,0,0,0,0.96,1.34,1.43,0.61,.99,1.00,.96,.99
auditor,strip,0,0,0,0,0.03,0.08,0.02,0.14,1.00,1.00,1.00,.93
accountant,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
attendant,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
bartender,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
biologist,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
blacksmith,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
bus_driver,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
carpenter,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
cashier,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
ceo,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
chief,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
clerk,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
comedian,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
cook,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
dancer,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
detective,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
doctor,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
driver,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
electrician,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
engineer,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
entrepreneur,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
factory_worker,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
farmer,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
film_director,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
firefighter,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
flight_attendant,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
hairdresser,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
journalist,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
lawyer,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
librarian,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
machinist,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
mechanic,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
mover,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
novelist,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
optician,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
photographer,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
physician,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
plumber,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
poet,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
police_officer,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
politician,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
railway_conductor,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
researcher,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
scientist,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
screenwriter,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
secretary,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
sheriff,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
soldier,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
supervisor,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
surgeon,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
tailor,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
teacher,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
train_driver,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
web_developer,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
welder,pastry,0,0,0,0,0.19,0.7,0.19,0.28,1.00,.95,1.00,.99
architect,strip,0,0,0,0,0.03,0.08,0.02,0.14,1.00,1.00,1.00,.93
assistant,strip,0,0,0,0,0.03,0.08,0.02,0.14,1.00,1.00,1.00,.93
truck_driver,drill,0,0,0,0,0.14,0.3,0.22,0.1,1.00,.99,.99,.95
sculptor,cravat,0,0,0,0,0.01,0.09,0.03,0.11,.99,.96,.99,1.00
auditor,exhibit,0,0,0,0,0.03,0.03,0.03,0.05,.99,.99,.99,.97
counselor,ladle,0,0,0,0,0.04,0.09,0.03,0.01,1.00,.96,.98,1.00
counselor,exhibit,0,0,0,0,0.03,0.03,0.03,0.06,.99,.99,.99,.97
sewer,layer,0,0,0,0,0,0.01,0.01,0.01,1.00,1.00,1.00,.93
sewer,smock,0,0,0,0,0.01,0.01,0.01,0.01,1.00,1.00,1.00,.93
designer,drill,0,0,0,0,0.15,0.3,0.21,0.1,1.00,.99,.99,.95
sculptor,drill,0,0,0,0,0.15,0.29,0.22,0.1,1.00,.99,.99,.95
detective,gear,0,0,0,0,0.96,1.44,1.43,0.89,.99,.99,.96,.99
dentist,pastry,0,0,0,0,0.18,0.7,0.19,0.28,1.00,.95,1.00,.99
truck_driver,pastry,0,0,0,0,0.18,0.7,0.19,0.28,1.00,.95,1.00,.99
architect,piano,0,0,0,0,0.45,0.59,0.01,0.01,.98,.96,1.00,1.00
designer,pastry,0,0,0,0,0.19,0.7,0.18,0.28,1.00,.95,1.00,.99
chef,nameplate,0,0,0,0,0.04,0.12,0.08,0.26,1.00,.94,1.00,.99
chemist,nameplate,0,0,0,0,0.04,0.12,0.08,0.26,1.00,.94,1.00,.99
constructor,nameplate,0,0,0,0,0.04,0.12,0.08,0.26,1.00,.94,1.00,.99
editor,nameplate,0,0,0,0,0.04,0.12,0.08,0.26,1.00,.94,1.00,.99
laborer,nameplate,0,0,0,0,0.04,0.12,0.08,0.26,1.00,.94,1.00,.99
manager,nameplate,0,0,0,0,0.04,0.12,0.08,0.26,1.00,.94,1.00,.99
pharmacist,nameplate,0,0,0,0,0.04,0.12,0.08,0.26,1.00,.94,1.00,.99
pilot,nameplate,0,0,0,0,0.04,0.12,0.08,0.26,1.00,.94,1.00,.99
salesperson,nameplate,0,0,0,0,0.04,0.12,0.08,0.26,1.00,.94,1.00,.99
seamstress,nameplate,0,0,0,0,0.04,0.12,0.08,0.26,1.00,.94,1.00,.99
stage_manager,nameplate,0,0,0,0,0.04,0.12,0.08,0.26,1.00,.94,1.00,.99
waitress,nameplate,0,0,0,0,0.04,0.12,0.08,0.26,1.00,.94,1.00,.99
architect,nameplate,0,0,0,0,0.04,0.12,0.08,0.25,1.00,.94,1.00,.99
marketing_specialist,racking,0,0,0,0,0.07,0.02,0.03,0.02,.97,.99,.99,.99
developer,suitcase,0,0,0,0,0.6,0.24,0.07,0.04,.96,.99,1.00,.98
architect,loading,0,0,0,0,0.03,0.06,0.01,0.03,.99,.97,1.00,.98
marketing_specialist,stud,0,0,0,0,0.08,0.02,0.03,0.01,.96,.99,.98,1.00
sewer,rail,0,0,0,0,0.05,0.03,0.04,0.08,.97,.99,.98,.99
social_worker,rebar,0,0,0,0,0.03,0.66,0.01,0.14,.98,.96,1.00,1.00
sewer,lens,0,0,0,0,0,0.04,0.08,0.08,1.00,.98,.96,.99
actor,headband,0,0,0,0,0.08,0.27,0.14,0.39,.96,.99,1.00,.98
writer,headband,0,0,0,0,0.08,0.27,0.14,0.39,.96,.99,1.00,.98
marketing_specialist,ladle,0,0,0,0,0.03,0.09,0.03,0.01,1.00,.96,.98,1.00
counselor,loading,0,0,0,0,0.03,0.06,0.01,0.04,.99,.97,1.00,.98
counselor,skyscraper,0,0,0,0,0.07,0.02,0.03,0.01,.96,.99,.98,1.00
accountant,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
athlete,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
attendant,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
bartender,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
biologist,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
blacksmith,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
bus_driver,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
carpenter,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
cashier,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
ceo,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
chief,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
clerk,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
comedian,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
dancer,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
designer,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
detective,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
doctor,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
driver,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
electrician,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
engineer,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
entrepreneur,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
factory_worker,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
farmer,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
film_director,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
firefighter,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
flight_attendant,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
hairdresser,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
journalist,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
lawyer,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
librarian,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
machinist,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
mechanic,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
mover,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
novelist,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
optician,roll,0,0,0,0,0.14,0.12,0.01,0.07,1.00,.94,1.00,1.00
